Time_since_preparation_hours,Storage_place,Acidity_source,Consistency,Container_type,Smell,Oil_separation,Spoiled_flag
40,Open air / uncovered,High (pH~4.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
97,Insulated container,High (pH~4.5),Thickened,Plastic box with lid,Rancid smell,Oil film present,Yes
82,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
70,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,5-15%,Yes
117,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Slight off-smell,Oil film present,Yes
73,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,<5%,Yes
17,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
59,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
69,Warm environment (≈35°C),High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
48,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
15,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,None,No
7,Room temperature (≈25°C),High (pH~4.5),Thickened,Thermal flask,Rancid smell,5-15%,Yes
95,Insulated container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,>15%,Yes
100,Covered in container,Moderate (pH~5.5),Clotted/curdled,Metal container,Slight off-smell,Oil film present,Yes
73,Covered in container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
80,Warm environment (≈35°C),High (pH~4.5),Normal (smooth),Metal container,Sour fermentation smell,Oil film present,Yes
1,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
69,Covered in container,Moderate (pH~5.5),Watery separation,Metal container,Strong off-odor,5-15%,Yes
48,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
102,Insulated container,None,Thickened,Plastic box with lid,Fresh/normal,None,No
56,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,<5%,No
83,Covered in container,High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,>15%,Yes
89,Covered in container,Moderate (pH~5.5),Clotted/curdled,Metal container,Sour fermentation smell,None,Yes
21,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
52,Open air / uncovered,Moderate (pH~5.5),Thickened,Open bowl,Strong off-odor,5-15%,Yes
88,Refrigerated (≈4°C),None,Thickened,Plastic box with lid,Fresh/normal,<5%,No
60,Insulated container,Low (pH~6.5),Watery separation,Thermal flask,Fresh/normal,None,No
74,Insulated container,High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,>15%,Yes
74,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,Oil film present,Yes
25,Covered in container,Low (pH~6.5),Clotted/curdled,Metal container,Sour fermentation smell,5-15%,Yes
35,Warm environment (≈35°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
1,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
43,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
60,Room temperature (≈25°C),High (pH~4.5),Thickened,Metal container,Sour fermentation smell,Oil film present,Yes
78,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,<5%,Yes
4,Open air / uncovered,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
107,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
2,Covered in container,Low (pH~6.5),Watery separation,Metal container,Fresh/normal,None,No
76,Open air / uncovered,Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,5-15%,Yes
57,Room temperature (≈25°C),High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,5-15%,Yes
44,Covered in container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
20,Covered in container,High (pH~4.5),Clotted/curdled,Glass jar sealed,Rancid smell,5-15%,Yes
113,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,>15%,Yes
38,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,5-15%,Yes
74,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
73,Insulated container,None,Normal (smooth),Glass jar sealed,Slight off-smell,None,No
85,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
52,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
24,Covered in container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
5,Room temperature (≈25°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
116,Insulated container,High (pH~4.5),Thickened,Open bowl,Slight off-smell,5-15%,Yes
119,Warm environment (≈35°C),High (pH~4.5),Thickened,Open bowl,Strong off-odor,None,Yes
95,Covered in container,High (pH~4.5),Normal (smooth),Plastic box with lid,Rancid smell,>15%,Yes
60,Insulated container,High (pH~4.5),Mushy,Open bowl,Slight off-smell,Oil film present,Yes
94,Covered in container,High (pH~4.5),Watery separation,Open bowl,Strong off-odor,None,Yes
83,Insulated container,High (pH~4.5),Mushy,Metal container,Sour fermentation smell,5-15%,Yes
75,Refrigerated (≈4°C),Low (pH~6.5),Watery separation,Metal container,Fresh/normal,None,No
60,Insulated container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
112,Insulated container,High (pH~4.5),Thickened,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
16,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
28,Refrigerated (≈4°C),High (pH~4.5),Mushy,Glass jar sealed,Sour fermentation smell,5-15%,Yes
51,Room temperature (≈25°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
89,Covered in container,High (pH~4.5),Watery separation,Plastic box with lid,Rancid smell,>15%,Yes
83,Covered in container,Moderate (pH~5.5),Watery separation,Metal container,Fresh/normal,<5%,Yes
39,Refrigerated (≈4°C),None,Thickened,Glass jar sealed,Fresh/normal,None,No
6,Warm environment (≈35°C),None,Thickened,Thermal flask,Fresh/normal,None,No
29,Refrigerated (≈4°C),None,Watery separation,Open bowl,Fresh/normal,None,No
60,Refrigerated (≈4°C),High (pH~4.5),Mushy,Metal container,Slight off-smell,>15%,Yes
31,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
101,Open air / uncovered,High (pH~4.5),Watery separation,Open bowl,Strong off-odor,Oil film present,Yes
90,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,5-15%,Yes
89,Insulated container,None,Mushy,Plastic box with lid,Sour fermentation smell,5-15%,Yes
65,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Thermal flask,Sour fermentation smell,>15%,Yes
42,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Sour fermentation smell,>15%,Yes
60,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
22,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,Oil film present,Yes
48,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
68,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Metal container,Sour fermentation smell,<5%,Yes
94,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
85,Covered in container,High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
12,Covered in container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
49,Open air / uncovered,High (pH~4.5),Clotted/curdled,Glass jar sealed,Strong off-odor,None,Yes
80,Covered in container,High (pH~4.5),Thickened,Open bowl,Sour fermentation smell,<5%,Yes
61,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
106,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Strong off-odor,<5%,Yes
35,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
29,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,>15%,Yes
88,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
1,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
62,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Strong off-odor,Oil film present,Yes
46,Open air / uncovered,Low (pH~6.5),Watery separation,Thermal flask,Rancid smell,5-15%,Yes
103,Insulated container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
26,Insulated container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
56,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,>15%,Yes
58,Covered in container,High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,5-15%,Yes
17,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Slight off-smell,<5%,No
80,Covered in container,Moderate (pH~5.5),Watery separation,Thermal flask,Strong off-odor,Oil film present,Yes
91,Room temperature (≈25°C),Low (pH~6.5),Thickened,Plastic box with lid,Rancid smell,None,Yes
96,Refrigerated (≈4°C),Low (pH~6.5),Watery separation,Open bowl,Fresh/normal,None,No
0,Open air / uncovered,None,Normal (smooth),Glass jar sealed,Slight off-smell,None,No
9,Warm environment (≈35°C),High (pH~4.5),Thickened,Plastic box with lid,Rancid smell,Oil film present,Yes
54,Covered in container,None,Thickened,Thermal flask,Fresh/normal,<5%,No
115,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
100,Covered in container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Sour fermentation smell,>15%,Yes
68,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
98,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
111,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Plastic box with lid,Rancid smell,>15%,Yes
10,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Slight off-smell,None,No
26,Insulated container,None,Thickened,Thermal flask,Slight off-smell,Oil film present,Yes
64,Covered in container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Sour fermentation smell,5-15%,Yes
33,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
118,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Strong off-odor,Oil film present,Yes
19,Room temperature (≈25°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
1,Open air / uncovered,Low (pH~6.5),Normal (smooth),Glass jar sealed,Sour fermentation smell,None,No
82,Covered in container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Rancid smell,>15%,Yes
97,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
91,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,5-15%,Yes
118,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Glass jar sealed,Strong off-odor,>15%,Yes
45,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Slight off-smell,<5%,No
45,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Rancid smell,5-15%,Yes
70,Open air / uncovered,Moderate (pH~5.5),Mushy,Thermal flask,Rancid smell,5-15%,Yes
69,Insulated container,High (pH~4.5),Watery separation,Plastic box with lid,Rancid smell,>15%,Yes
119,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Metal container,Strong off-odor,Oil film present,Yes
79,Covered in container,Moderate (pH~5.5),Watery separation,Glass jar sealed,Rancid smell,5-15%,Yes
96,Insulated container,High (pH~4.5),Clotted/curdled,Metal container,Rancid smell,5-15%,Yes
52,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Glass jar sealed,Strong off-odor,>15%,Yes
83,Insulated container,High (pH~4.5),Watery separation,Plastic box with lid,Rancid smell,5-15%,Yes
109,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
56,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Sour fermentation smell,5-15%,Yes
53,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,Oil film present,Yes
2,Insulated container,None,Thickened,Glass jar sealed,Fresh/normal,None,No
81,Insulated container,High (pH~4.5),Thickened,Plastic box with lid,Strong off-odor,>15%,Yes
96,Refrigerated (≈4°C),None,Watery separation,Metal container,Fresh/normal,None,No
57,Covered in container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
11,Warm environment (≈35°C),High (pH~4.5),Thickened,Glass jar sealed,Strong off-odor,<5%,Yes
4,Covered in container,Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
88,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,Oil film present,Yes
46,Open air / uncovered,None,Normal (smooth),Metal container,Strong off-odor,5-15%,No
120,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Slight off-smell,5-15%,No
24,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Plastic box with lid,Fresh/normal,None,No
59,Open air / uncovered,High (pH~4.5),Mushy,Open bowl,Strong off-odor,Oil film present,Yes
80,Insulated container,Moderate (pH~5.5),Watery separation,Thermal flask,Strong off-odor,>15%,Yes
94,Refrigerated (≈4°C),Low (pH~6.5),Watery separation,Metal container,Fresh/normal,None,No
65,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
13,Insulated container,High (pH~4.5),Clotted/curdled,Metal container,Sour fermentation smell,Oil film present,Yes
118,Covered in container,High (pH~4.5),Mushy,Thermal flask,Slight off-smell,>15%,Yes
114,Covered in container,High (pH~4.5),Normal (smooth),Plastic box with lid,Slight off-smell,<5%,Yes
93,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Plastic box with lid,Rancid smell,Oil film present,Yes
4,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
12,Warm environment (≈35°C),High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,Oil film present,Yes
91,Insulated container,Low (pH~6.5),Mushy,Glass jar sealed,Rancid smell,5-15%,Yes
24,Room temperature (≈25°C),None,Thickened,Metal container,Fresh/normal,<5%,No
96,Covered in container,Moderate (pH~5.5),Watery separation,Thermal flask,Slight off-smell,5-15%,Yes
112,Covered in container,None,Clotted/curdled,Thermal flask,Rancid smell,5-15%,Yes
90,Insulated container,None,Normal (smooth),Open bowl,Fresh/normal,5-15%,No
92,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Open bowl,Rancid smell,Oil film present,Yes
57,Covered in container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
86,Insulated container,Moderate (pH~5.5),Thickened,Metal container,Slight off-smell,Oil film present,Yes
18,Open air / uncovered,High (pH~4.5),Watery separation,Open bowl,Slight off-smell,Oil film present,Yes
43,Insulated container,High (pH~4.5),Normal (smooth),Metal container,Slight off-smell,Oil film present,Yes
70,Room temperature (≈25°C),High (pH~4.5),Mushy,Metal container,Strong off-odor,Oil film present,Yes
13,Insulated container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Strong off-odor,Oil film present,Yes
117,Covered in container,High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,>15%,Yes
56,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
116,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,<5%,Yes
69,Covered in container,High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,5-15%,Yes
110,Open air / uncovered,High (pH~4.5),Thickened,Glass jar sealed,Rancid smell,Oil film present,Yes
91,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Rancid smell,Oil film present,Yes
117,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Open bowl,Sour fermentation smell,Oil film present,Yes
11,Open air / uncovered,None,Normal (smooth),Thermal flask,Slight off-smell,None,No
2,Warm environment (≈35°C),None,Thickened,Plastic box with lid,Fresh/normal,None,No
62,Insulated container,High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,5-15%,Yes
4,Open air / uncovered,None,Normal (smooth),Metal container,Slight off-smell,None,No
9,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
32,Open air / uncovered,High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,5-15%,Yes
14,Warm environment (≈35°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
83,Insulated container,Moderate (pH~5.5),Normal (smooth),Metal container,Sour fermentation smell,Oil film present,Yes
80,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,5-15%,Yes
43,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
